,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
57,0102926,0114709,0111282,0076759,0112431,0133093,0113189,0111280,0106582,0116282,0080684,0086190,0137523,0082971,0120815,0068646,0113497,0169547,0088763,0113277
58,0110912,0111161,0109830,0082971,0114814,0169547,0137523,0114369,0106977,0114709,0167404,0088763,0078748,0114746,0112384,0105236,0120737,0093779,0099685,0097576
59,0110912,0109830,0102926,0133093,0137523,0076759,0112573,0080684,0114369,0169547,0120815,0103064,0107290,0116282,0120737,0167260,0082971,0114709,0112384,0167261
60,0110912,0109830,0133093,0137523,0076759,0108052,0114369,0080684,0112573,0068646,0169547,0103064,0082971,0120815,0116282,0086190,0107290,0167404,0114709,0120586
61,0114814,0169547,0209144,0103064,0266543,0114709,0107290,0116282,0198781,0110357,0095016,0258463,0071853,0116629,0078748,0099685,0093779,0112384,0114746,0103639
62,0102926,0167404,0106977,0266543,0093779,0317705,0088247,0211915,0083658,0111503,0066921,0099348,0120689,0434409,0081505,0120338,0120915,0371746,0151804,0361748
63,0082971,0106977,0088763,0112384,0172495,0097576,0096895,0111503,0468569,0117060,0083658,0066921,0090605,0268978,0087332,0240772,0264464,0145487,1375666,0407887
64,0133093,0109830,0110912,0102926,0167261,0076759,0114814,0080684,0068646,0169547,0082971,0112573,0172495,0114369,0167404,0086190,0126029,0325980,0119217,0103064
65,0108052,0068646,0112384,0097576,0103639,0119654,0110357,0071562,0120586,0111257,0073486,0468569,0117060,0120903,0078788,0211915,0083866,0120689,1375666,0268978
66,0102926,0076759,0080684,0112573,0108052,0082971,0114814,0086190,0114369,0068646,0107290,0167404,0468569,0172495,0209144,0114709,0116282,0112384,0119217,0106977
67,0114746,0117951,0117500,0057012,0097165,0079470,0092005,0075314,0319061,0047396,0109444,0120630,0117731,0061722,0317248,0816692,0111280,0086879,0112740,0095159
68,0112573,0137523,0108052,0107290,0082971,0068646,0120815,0114369,0169547,0120737,0167260,0116282,0114709,0112384,0167261,0106977,0088763,0172495,0114746,0116629
69,0110912,0102926,0133093,0076759,0137523,0114814,0080684,0112573,0107290,0120815,0082971,0103064,0116282,0114369,0114709,0167404,0120737,0167260,0167261,0106977
70,0109830,0111161,0110912,0107290,0112573,0102926,0114746,0080684,0133093,0106977,0112384,0082971,0111503,0114369,0111257,0096895,0108052,0103639,0114814,0088763
71,0107290,0137523,0120815,0114709,0116282,0120737,0096895,0111503,0167260,0103639,0167404,0167261,0110357,0172495,0209144,0097576,0095016,0126029,0099685,0093779
72,0133093,0111161,0109830,0137523,0167260,0120737,0110912,0167261,0080684,0102926,0082971,0172495,0086190,0068646,0372784,0167404,0114814,0338013,0088763,0114369
73,0111161,0137523,0133093,0102926,0109830,0114814,0108052,0076759,0114369,0080684,0105236,0120737,0082971,0167404,0120815,0099685,0167261,0167260,0338013,0120586
74,0111161,0109830,0110912,0102926,0086190,0137523,0112573,0120815,0107290,0068646,0108052,0169547,0088763,0114814,0114709,0167404,0172495,0116282,0209144,0093779
75,0114814,0120737,0082971,0108052,0112573,0120815,0086190,0172495,0120586,0088763,0126029,0073486,0114746,0338013,0097576,0119217,0093779,0112384,0106977,0110413
76,0111161,0109830,0137523,0110912,0102926,0120815,0068646,0126029,0169547,0108052,0103064,0167404,0112573,0114814,0088763,0097576,0114369,0114709,0266543,0107290
77,0112573,0080684,0106977,0108052,0086190,0114369,0114814,0137523,0120815,0096895,0068646,0103639,0169547,0120737,0110357,0167260,0167261,0167404,0172495,0078748
78,0109830,0110912,0111161,0102926,0082971,0112573,0108052,0137523,0169547,0114814,0088763,0116282,0114369,0167404,0078748,0114709,0095016,0120737,0116629,0112384
79,0109830,0110912,0076759,0120737,0167260,0167261,0080684,0169547,0172495,0120815,0114369,0086190,0082971,0108052,0103064,0112573,0126029,0167404,0120586,0107290
80,0102926,0099348,0108052,0114814,0133093,0114709,0109444,0076759,0101414,0116629,0106918,0114069,0080684,0107614,0117060,0112431,0110148,0106582,0086190,0113957
81,0111161,0110912,0102926,0137523,0108052,0106977,0112384,0114814,0167261,0169547,0111257,0167404,0114746,0116282,0088247,0209144,0093779,0107048,0071853,0468569
82,0133093,0110912,0137523,0102926,0076759,0108052,0080684,0082971,0114814,0068646,0103064,0114369,0086190,0114709,0116282,0338013,0266543,0112384,0119217,0120586
83,0112573,0103064,0133093,0114709,0114369,0114746,0103639,0116629,0110357,0169547,0120815,0137523,0117060,0101414,0167404,0110475,0120737,0071562,0111282,0109040
84,0111161,0109830,0102926,0110912,0114814,0133093,0076759,0116282,0120815,0068646,0169547,0112573,0137523,0080684,0106977,0167404,0112384,0103064,0082971,0114709
85,0110912,0102926,0112573,0108052,0103064,0082971,0114814,0114369,0068646,0112384,0088763,0110357,0116282,0097576,0114746,0119217,0120586,0119654,0095016,0317705
86,0111161,0110912,0133093,0137523,0109830,0076759,0102926,0116282,0080684,0082971,0169547,0120737,0108052,0093779,0167261,0209144,0068646,0114814,0338013,0167260
87,0133093,0110912,0109830,0137523,0102926,0076759,0068646,0169547,0080684,0114369,0120815,0172495,0082971,0112573,0167404,0126029,0338013,0120586,0086190,0325980
88,0266543,0133093,0137523,0325980,0111161,0120737,0317705,0167260,0076759,0169547,0167261,0082971,1049413,0240772,0468569,0080684,0167404,0119217,0120903,0268978
89,0110912,0111161,0102926,0109830,0112573,0117060,0086190,0080684,0103064,0114814,0107290,0108052,0106977,0133093,0117998,0082971,0112384,0114369,0117500,0068646
90,0108052,0169547,0120586,0266543,0468569,0338013,0112431,0093058,0118715,0211915,0268978,0120338,0372784,1375666,0407887,0208092,0162222,0119822,0434409,0401792
91,0109830,0111161,0076759,0133093,0114709,0110912,0080684,0169547,0137523,0126029,0086190,0110357,0103639,0088763,0082971,0102926,0325980,0120737,0167261,0167260
92,0110912,0103064,0106977,0133093,0096895,0114369,0080684,0114814,0110357,0086190,0116629,0111257,0114746,0082971,0112864,0137523,0101414,0169547,0088763,0068646
93,0108052,0114814,0109444,0101414,0114709,0106918,0116629,0133093,0076759,0117060,0114924,0108160,0080684,0086190,0116282,0082971,0120815,0137523,0110932,0068646
94,0110912,0109830,0111161,0102926,0137523,0068646,0169547,0120737,0112573,0114814,0108052,0167260,0114369,0167404,0172495,0114709,0209144,0126029,0093779,0071853
95,0109830,0111161,0102926,0080684,0106977,0114369,0137523,0116282,0114746,0088763,0096895,0167404,0120737,0099348,0103639,0110357,0167260,0167261,0088247,0119654
96,0111161,0109830,0110912,0076759,0137523,0080684,0167260,0082971,0167261,0108052,0112573,0103064,0169547,0167404,0114369,0114814,0107290,0209144,0088763,0114709
97,0111161,0133093,0110912,0137523,0076759,0120737,0080684,0108052,0167261,0082971,0468569,0114814,0169547,0086190,0120815,0114369,0167404,0112573,0103064,0107290
98,0109830,0112573,0102926,0106977,0099348,0107290,0103064,0114369,0110357,0111257,0108052,0101414,0114814,0106918,0114709,0114746,0110475,0113957,0111280,0112431
99,0111161,0102926,0107290,0133093,0112573,0076759,0108052,0103064,0080684,0112384,0114814,0114709,0106977,0086190,0114369,0169547,0137523,0103639,0082971,0110357
100,0133093,0076759,0110912,0109830,0111161,0080684,0102926,0082971,0120815,0068646,0114814,0120737,0088763,0108052,0103064,0116282,0112573,0114369,0209144,0107290
101,0112573,0108052,0114814,0101414,0114709,0114746,0111282,0133093,0110475,0076759,0116629,0114069,0113189,0112431,0100405,0117060,0113957,0099653,0114924,0080684
102,0169547,0114369,0103064,0167404,0088763,0172495,0071853,0106977,0114746,0103639,0107048,0116629,0078748,0119654,0095016,0110413,0096895,0268978,0088247,0264464
103,0111161,0110912,0133093,0102926,0137523,0080684,0107290,0167260,0114709,0086190,0103064,0082971,0114814,0169547,0120815,0112384,0167404,0172495,0106977,0093779
104,0080684,0086190,0088763,0114709,0107290,0071853,0120382,0097576,0093779,0095016,0110357,0119654,0116629,0118715,0112384,0088247,0103639,0120338,0090605,0119116
105,0109830,0137523,0076759,0110912,0468569,0080684,0102926,0126029,1375666,0082971,0086190,0108052,0172495,0120815,0209144,0266543,0112573,0317705,0198781,1049413
106,0109830,0102926,0106977,0107290,0096895,0103064,0103639,0114369,0110357,0108052,0111257,0114814,0101414,0114746,0106918,0116629,0110475,0113189,0112431,0117060
107,0109830,0111161,0110912,0076759,0102926,0137523,0080684,0082971,0108052,0167260,0086190,0120815,0169547,0103064,0112573,0126029,0167404,0114814,0068646,0209144
108,0114709,0076759,0101414,0133093,0111282,0117060,0116282,0113189,0114069,0080684,0086190,0108160,0106582,0113957,0137523,0114924,0082971,0120815,0068646,0114898
109,0111161,0109830,0102926,0076759,0114814,0068646,0080684,0103064,0120737,0167260,0167261,0107290,0086190,0209144,0120586,0114709,0172495,0099685,0071562,0071853
110,0110912,0120737,0167260,0076759,0167261,0080684,0086190,0172495,0114709,0082971,0114369,0108052,0120815,0114814,0068646,0167404,0088763,0112573,0103064,0107048
111,0111161,0110912,0103064,0108052,0137523,0106977,0068646,0169547,0110357,0116282,0103639,0172495,0099348,0096895,0167404,0111503,0111257,0209144,0117060,0097576
112,0110912,0111161,0108052,0133093,0114814,0116282,0080684,0107290,0112573,0103064,0082971,0137523,0114369,0114709,0120815,0086190,0106977,0112384,0167404,0114746
113,0133093,0109830,0111161,0167260,0120737,0110912,0080684,0137523,0167261,0082971,0468569,0325980,0108052,0114709,0068646,1375666,0120815,0172495,0198781,0103064
114,0109830,0111161,0086190,0108052,0114369,0114814,0112384,0114709,0137523,0068646,0088763,0116282,0120737,0111257,0097576,0167260,0167261,0095016,0078748,0093779
115,0111161,0110912,0112573,0133093,0076759,0080684,0086190,0114709,0114814,0103639,0120815,0137523,0110357,0111503,0096895,0169547,0120737,0114746,0116282,0167404
116,0114709,0076759,0133093,0080684,0086190,0114898,0082971,0120815,0068646,0137523,0088763,0169547,0167404,0067992,0120737,0167260,0093779,0119654,0108550,0097576
117,0111161,0109830,0102926,0133093,0076759,0114814,0137523,0112573,0114369,0103064,0169547,0107290,0082971,0086190,0106977,0120737,0112384,0114709,0167404,0167260
118,0137523,0102926,0076759,0080684,0108052,0120815,0082971,0209144,0114369,0086190,0068646,0114814,0169547,0112573,0103064,0167404,0266697,0119217,0338013,0107290
119,0111161,0110912,0109830,0102926,0080684,0114709,0133093,0103064,0112573,0107290,0082971,0114814,0108052,0114369,0120815,0106977,0137523,0112384,0169547,0088763
120,0102926,0107290,0103064,0103639,0114814,0110357,0112864,0114746,0076759,0112462,0133093,0110475,0117060,0107614,0112431,0113189,0111280,0099653,0113957,0116282
121,0120737,0169547,0082971,0167260,0112573,0108052,0120815,0167261,0114709,0209144,0172495,0126029,0266697,0097576,0120586,0112384,0325980,0106977,0119217,0338013
122,0109830,0468569,0108052,0114814,0082971,0068646,0120815,0112573,0086190,0103064,0172495,0167404,0126029,0114709,0116282,0325980,0107290,0266697,0338013,0266543
123,0133093,0137523,0108052,0103064,0114369,0068646,0120815,0082971,0120737,0112384,0167260,0106977,0167261,0167404,0114746,0088763,0116629,0126029,0172495,0110357
124,0076759,0120737,0167260,0167261,0080684,0108052,0114814,0114369,0082971,0120815,0172495,0167404,0126029,0107290,0114709,0266543,0120586,0119217,0317705,0105236
125,0108052,0114814,0114709,0114746,0133093,0113189,0116629,0076759,0100405,0117060,0099653,0108160,0080684,0086190,0120815,0116282,0137523,0082971,0109831,0068646
126,0076759,0110912,0111161,0102926,0080684,0109830,0082971,0133093,0169547,0068646,0116282,0071853,0093779,0086190,0108052,0114814,0088763,0114709,0167404,0137523
127,0111161,0110912,0133093,0109830,0068646,0086190,0103064,0107290,0108052,0137523,0169547,0114814,0120815,0114369,0114709,0120737,0088763,0106977,0167404,0167260
128,0109830,0111161,0110912,0102926,0082971,0103064,0108052,0114709,0114814,0068646,0167404,0088763,0468569,0116282,0097576,0266543,0112384,0110357,0114746,0119654
129,0109830,0102926,0106977,0107290,0103064,0114369,0110357,0111257,0108052,0114814,0106918,0114746,0110475,0113189,0112431,0116629,0107614,0133093,0076759,0117060
130,0137523,0108052,0082971,0103064,0086190,0107290,0167404,0172495,0114709,0088763,0106977,0114746,0112384,0119217,0126029,0097576,0266697,0095016,0093779,0116629
131,0108052,0112573,0082971,0103064,0107290,0120815,0167404,0116282,0172495,0112384,0071853,0093779,0106977,0107048,0116629,0097576,0119654,0073486,0099685,0078748
132,0133093,0110357,0076759,0114709,0112864,0101414,0080684,0112740,0109040,0111282,0137523,0086190,0116282,0120815,0107614,0117060,0112431,0082971,0068646,0113189
133,0109830,0111161,0106977,0112384,0107290,0103064,0112864,0111257,0108052,0114814,0114069,0114746,0113189,0112431,0116629,0107614,0133093,0111280,0113957,0076759
134,0109830,0114814,0112384,0088763,0167260,0167261,0103639,0110357,0099348,0105236,0071562,0083658,0119217,0120586,0073486,0087332,0119116,0101414,0111282,0325980
135,0109830,0111161,0107290,0103064,0111257,0108052,0114814,0114709,0114746,0107614,0116629,0100405,0117060,0108160,0099653,0076759,0113497,0133093,0112697,0113161
136,0114814,0169547,0114369,0106977,0209144,0097576,0114746,0099685,0105236,0107048,0095016,0088247,0119217,0468569,0096895,0110357,0120586,0066921,0111257,0325980
137,0076759,0080684,0133093,0082971,0086190,0109830,0111161,0169547,0110912,0103064,0102926,0068646,0172495,0088763,0093779,0107048,0107290,0116282,0114709,0120815
138,0133093,0111161,0137523,0109830,0080684,0110912,0086190,0102926,0209144,0120815,0266543,0068646,0167404,0169547,0088763,0103064,0114814,0240772,0114369,0910970
139,0103064,0137523,0167404,0114746,0096895,0093779,0071853,0120586,0110475,0468569,0113189,0111282,0120903,0338013,0109040,0119116,0066921,0078788,0087469,0081505
140,0102926,0108052,0103064,0169547,0114814,0167404,1375666,0116282,0338013,0120586,0071853,0106977,0114746,0095016,0268978,0120903,0105236,0078748,0088247,0073486
141,0111161,0112573,0114709,0114746,0133093,0111282,0076759,0106918,0112462,0116629,0107614,0113189,0100405,0110148,0080684,0117060,0111280,0113957,0116282,0099653
142,0111161,0133093,0110912,0137523,0167260,0120737,0102926,0076759,0167261,0468569,0108052,0114709,0080684,0107290,0086190,0172495,0110357,0112573,0120815,0082971
143,0111161,0076759,0106977,0114814,0080684,0086190,0082971,0068646,0116282,0088763,0101414,0112864,0110475,0093779,0119217,0071853,0110413,0468569,0111282,0088247
144,0109830,0112573,0102926,0106977,0107290,0103064,0114369,0108052,0110357,0111257,0109444,0114746,0133093,0076759,0106918,0110475,0116629,0113189,0112431,0110148
145,0111161,0110912,0109830,0102926,0076759,0114709,0107290,0103064,0133093,0112573,0114369,0116629,0103639,0112384,0110357,0080684,0114814,0106977,0086190,0137523
146,0110912,0109830,0111161,0112573,0102926,0106977,0103064,0107290,0111503,0096895,0112384,0114369,0114814,0099348,0076759,0103639,0114709,0114746,0080684,0108052
147,0133093,0111161,0137523,0076759,0468569,0110912,0126029,0325980,0080684,0317705,0102926,0082971,0108052,0086190,0209144,0172495,0114709,0120815,0371746,0338013
148,0109830,0133093,0110912,0111161,0102926,0112573,0082971,0114709,0120815,0068646,0106977,0114814,0169547,0114369,0116282,0097576,0108052,0112384,0137523,0096895
149,0076759,0114709,0110912,0111161,0109830,0102926,0112573,0117998,0107290,0103064,0106977,0086190,0112384,0114814,0114369,0108052,0096895,0080684,0111503,0111257
150,0076759,0109830,0114746,0111161,0110912,0117500,0107290,0086190,0112573,0102926,0103064,0112384,0116282,0106977,0117731,0103639,0110357,0080684,0114369,0111503
151,0109830,0080684,0120737,0112573,0167260,0120815,0167261,0103064,0209144,0167404,0086190,0107290,0105236,0114709,0172495,0088763,0119217,0114746,0112384,0106977
152,0111161,0102926,0120737,0076759,0167260,0167261,0114814,0114369,0120815,0167404,0112573,0468569,0107290,0116282,0086190,1375666,0172495,0103064,0266697,0325980
153,0111161,0133093,0167260,0468569,0120737,0137523,0076759,0167261,0110912,0102926,0080684,0910970,0082971,0086190,0108052,0126029,0325980,0172495,0266543,0120815
154,0109830,0133093,0111161,0110912,0080684,0102926,0086190,0112573,0103064,0107290,0082971,0169547,0167404,0108052,0068646,0120737,0114814,0114369,0088763,0167260
155,0080684,0108052,0112573,0137523,0103064,0086190,0120815,0167404,0114746,0093779,0120737,0167261,0078748,0167260,0096895,0116629,0103639,0126029,0110357,0095016
156,0111161,0109830,0133093,0110912,0102926,0076759,0169547,0068646,0080684,0114814,0120815,0082971,0167404,0120737,0086190,0112573,0114369,0167260,0107290,0103064
157,0169547,0076759,0133093,0109830,0080684,0110912,0137523,0078748,0088763,0111161,0167404,0102926,0082971,0093779,0086190,0068646,0120815,0114369,0112573,0114814
158,0102926,0133093,0108052,0076759,0103064,0120737,0167260,0114369,0114814,0167261,0080684,0120815,0110357,0103639,0106977,0086190,0082971,0167404,0068646,0088763
159,0111161,0103639,0111503,0093779,0209144,0099348,0105236,0071853,0119217,0073486,0066921,0325980,0468569,0266543,0120382,0266697,0338013,0107614,0109040,0198781
160,0109830,0110912,0102926,0133093,0076759,0112573,0108052,0107290,0112384,0114814,0103064,0080684,0103639,0137523,0110357,0082971,0086190,0106977,0114369,0120737
161,0102926,0112573,0106977,0107290,0103064,0114369,0111503,0103639,0110357,0114709,0111257,0114746,0133093,0076759,0112864,0116629,0109444,0101414,0112740,0106918
162,0133093,0109830,0111161,0110912,0102926,0076759,0120815,0137523,0169547,0080684,0167404,0086190,0068646,0114814,0108052,0082971,0119654,0172495,0112573,0103064
163,0133093,0076759,0109830,0110912,0111161,0102926,0120815,0088763,0106977,0114709,0068646,0114369,0108052,0137523,0112384,0114814,0169547,0120737,0078748,0114746
164,0109830,0111161,0110912,0076759,0102926,0103064,0137523,0120737,0108052,0167260,0169547,0114814,0114369,0172495,0088763,0167404,0114709,0106977,0126029,0116282
165,0112573,0103064,0107290,0088763,0468569,0112384,0325980,0116629,0071853,0110357,1375666,0099685,0268978,0083658,0090605,0099348,0111503,0119116,0118715,0190332
166,0133093,0137523,0103064,0108052,0114814,0114369,0068646,0088763,0172495,0209144,0106977,0110357,0116629,0114746,0468569,0095016,0119217,0088247,0266697,0105236
167,0111161,0102926,0133093,0076759,0137523,0114814,0108052,0080684,0082971,0114369,0120815,0167404,0112573,0086190,0103064,0071853,0107290,0209144,0120737,0083658
168,0110912,0102926,0076759,0112573,0137523,0080684,0103064,0086190,0114369,0082971,0114814,0169547,0116629,0068646,0172495,0114746,0096895,0209144,0111503,0099348
