userId,moviename1,moviename2,moviename3,moviename4,moviename5,moviename6,moviename7,moviename8,moviename9,moviename10,moviename11,moviename12,moviename13,moviename14,moviename15,moviename16,moviename17,moviename18,moviename19,moviename20
11,Pulp Fiction (1994),Schindler's List (1993),"Matrix, The (1999)",Star Wars: Episode IV - A New Hope (1977),Seven (a.k.a. Se7en) (1995),Dances with Wolves (1990),Batman (1989),"Usual Suspects, The (1995)",Toy Story (1995),Aladdin (1992),Star Wars: Episode V - The Empire Strikes Back (1980),"Lion King, The (1994)",Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Stargate (1994),Fargo (1996),"Godfather, The (1972)",Fight Club (1999),Beauty and the Beast (1991),Crimson Tide (1995)
12,Forrest Gump (1994),"Shawshank Redemption, The (1994)",Pulp Fiction (1994),"Silence of the Lambs, The (1991)",Aladdin (1992),Jurassic Park (1993),Braveheart (1995),Schindler's List (1993),Star Wars: Episode IV - A New Hope (1977),"Matrix, The (1999)",Apollo 13 (1995),Toy Story (1995),"Lion King, The (1994)",Beauty and the Beast (1991),Terminator 2: Judgment Day (1991),Pretty Woman (1990),Star Wars: Episode VI - Return of the Jedi (1983),"Fugitive, The (1993)",American Beauty (1999),"Usual Suspects, The (1995)"
13,Forrest Gump (1994),"Shawshank Redemption, The (1994)",Pulp Fiction (1994),Star Wars: Episode IV - A New Hope (1977),Fight Club (1999),"Silence of the Lambs, The (1991)",Star Wars: Episode V - The Empire Strikes Back (1980),"Lord of the Rings: The Fellowship of the Ring, The (2001)",Star Wars: Episode VI - Return of the Jedi (1983),Saving Private Ryan (1998),Braveheart (1995),Terminator 2: Judgment Day (1991),American Beauty (1999),"Lord of the Rings: The Return of the King, The (2003)","Lord of the Rings: The Two Towers, The (2002)","Sixth Sense, The (1999)","Godfather, The (1972)",Jurassic Park (1993),Schindler's List (1993),"Usual Suspects, The (1995)"
14,"Fugitive, The (1993)",Terminator 2: Judgment Day (1991),True Lies (1994),Aladdin (1992),"Usual Suspects, The (1995)","Lion King, The (1994)",Die Hard: With a Vengeance (1995),Toy Story (1995),"Matrix, The (1999)",Clear and Present Danger (1994),Crimson Tide (1995),Star Wars: Episode IV - A New Hope (1977),Independence Day (a.k.a. ID4) (1996),Beauty and the Beast (1991),"Firm, The (1993)",Stargate (1994),Mrs. Doubtfire (1993),Babe (1995),Outbreak (1995),Mission: Impossible (1996)
15,"Silence of the Lambs, The (1991)","Lord of the Rings: The Return of the King, The (2003)",Braveheart (1995),"Usual Suspects, The (1995)",Jurassic Park (1993),Fargo (1996),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Indiana Jones and the Last Crusade (1989),Apollo 13 (1995),Good Will Hunting (1997),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Die Hard (1988),"Fugitive, The (1993)",Eternal Sunshine of the Spotless Mind (2004),Men in Black (a.k.a. MIB) (1997),"Princess Bride, The (1987)",Reservoir Dogs (1992),"Godfather: Part II, The (1974)",Monty Python and the Holy Grail (1975),Batman Begins (2005)
16,Saving Private Ryan (1998),Braveheart (1995),Star Wars: Episode VI - Return of the Jedi (1983),Terminator 2: Judgment Day (1991),Jurassic Park (1993),Toy Story (1995),Gladiator (2000),"Godfather: Part II, The (1974)",Back to the Future (1985),Shrek (2001),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Indiana Jones and the Last Crusade (1989),"Fugitive, The (1993)",Apollo 13 (1995),Kill Bill: Vol. 1 (2003),"Clockwork Orange, A (1971)",Groundhog Day (1993),Die Hard (1988),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Finding Nemo (2003)
17,Fargo (1996),"Fugitive, The (1993)",Gladiator (2000),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Shrek (2001),Alien (1979),Monty Python and the Holy Grail (1975),Good Will Hunting (1997),"Lion King, The (1994)",Aladdin (1992),Eternal Sunshine of the Spotless Mind (2004),Groundhog Day (1993),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Kill Bill: Vol. 1 (2003),Men in Black (a.k.a. MIB) (1997),Aliens (1986),Speed (1994),True Lies (1994),Finding Nemo (2003),"Amelie (Fabuleux destin d'Am¨¦lie Poulain, Le) (2001)"
18,American Beauty (1999),Apollo 13 (1995),"Princess Bride, The (1987)",Groundhog Day (1993),Batman (1989),Aliens (1986),Donnie Darko (2001),WALL¡¤E (2008),"Shining, The (1980)",Ghostbusters (a.k.a. Ghost Busters) (1984),E.T. the Extra-Terrestrial (1982),Star Wars: Episode I - The Phantom Menace (1999),"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Cast Away (2000),Office Space (1999),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Casino Royale (2006),"Breakfast Club, The (1985)",GoldenEye (1995),Stargate (1994)
19,Pulp Fiction (1994),"Shawshank Redemption, The (1994)","Silence of the Lambs, The (1991)",Braveheart (1995),Schindler's List (1993),"Usual Suspects, The (1995)",Saving Private Ryan (1998),Apollo 13 (1995),"Godfather, The (1972)",Fargo (1996),Independence Day (a.k.a. ID4) (1996),Dances with Wolves (1990),"Lord of the Rings: The Fellowship of the Ring, The (2001)",Die Hard (1988),Shrek (2001),Beauty and the Beast (1991),"Lord of the Rings: The Return of the King, The (2003)","Lord of the Rings: The Two Towers, The (2002)",Memento (2000),Goodfellas (1990)
20,Forrest Gump (1994),"Matrix, The (1999)","Shawshank Redemption, The (1994)",Star Wars: Episode IV - A New Hope (1977),Pulp Fiction (1994),Star Wars: Episode V - The Empire Strikes Back (1980),"Silence of the Lambs, The (1991)",Toy Story (1995),Fight Club (1999),Star Wars: Episode VI - Return of the Jedi (1983),"Lord of the Rings: The Return of the King, The (2003)",Jurassic Park (1993),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Schindler's List (1993),Back to the Future (1985),"Sixth Sense, The (1999)",American Beauty (1999),Saving Private Ryan (1998),Terminator 2: Judgment Day (1991),Finding Nemo (2003)
21,"Shawshank Redemption, The (1994)","Silence of the Lambs, The (1991)",Saving Private Ryan (1998),Braveheart (1995),Seven (a.k.a. Se7en) (1995),Schindler's List (1993),"Usual Suspects, The (1995)",Finding Nemo (2003),Memento (2000),Apollo 13 (1995),Fargo (1996),"Fugitive, The (1993)","Princess Bride, The (1987)",Monty Python and the Holy Grail (1975),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),WALL¡¤E (2008),"Truman Show, The (1998)","Beautiful Mind, A (2001)",Eternal Sunshine of the Spotless Mind (2004),American History X (1998)
22,"Matrix, The (1999)",Pulp Fiction (1994),"Silence of the Lambs, The (1991)","Lord of the Rings: The Two Towers, The (2002)",Star Wars: Episode IV - A New Hope (1977),Schindler's List (1993),Star Wars: Episode V - The Empire Strikes Back (1980),American Beauty (1999),"Usual Suspects, The (1995)",Seven (a.k.a. Se7en) (1995),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Saving Private Ryan (1998),Inception (2010),Braveheart (1995),Star Wars: Episode VI - Return of the Jedi (1983),"Sixth Sense, The (1999)",Terminator 2: Judgment Day (1991),Toy Story (1995),Jurassic Park (1993),Fargo (1996)
23,"Shawshank Redemption, The (1994)","Matrix, The (1999)","Silence of the Lambs, The (1991)",Forrest Gump (1994),Star Wars: Episode IV - A New Hope (1977),Fight Club (1999),Star Wars: Episode V - The Empire Strikes Back (1980),American Beauty (1999),Schindler's List (1993),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Seven (a.k.a. Se7en) (1995),Terminator 2: Judgment Day (1991),Braveheart (1995),Star Wars: Episode VI - Return of the Jedi (1983),"Lord of the Rings: The Fellowship of the Ring, The (2001)",Saving Private Ryan (1998),"Sixth Sense, The (1999)",Jurassic Park (1993),"Lord of the Rings: The Two Towers, The (2002)","Lord of the Rings: The Return of the King, The (2003)"
24,Star Wars: Episode IV - A New Hope (1977),Fight Club (1999),Braveheart (1995),Star Wars: Episode V - The Empire Strikes Back (1980),Schindler's List (1993),Terminator 2: Judgment Day (1991),"Lord of the Rings: The Fellowship of the Ring, The (2001)","Lord of the Rings: The Return of the King, The (2003)",Seven (a.k.a. Se7en) (1995),Jurassic Park (1993),Star Wars: Episode VI - Return of the Jedi (1983),"Lord of the Rings: The Two Towers, The (2002)","Godfather, The (1972)",American Beauty (1999),Toy Story (1995),"Sixth Sense, The (1999)",Apollo 13 (1995),Back to the Future (1985),Memento (2000),Shrek (2001)
25,"Shawshank Redemption, The (1994)",Forrest Gump (1994),Fight Club (1999),Pulp Fiction (1994),"Silence of the Lambs, The (1991)",Star Wars: Episode V - The Empire Strikes Back (1980),Star Wars: Episode VI - Return of the Jedi (1983),"Godfather, The (1972)",Braveheart (1995),"Usual Suspects, The (1995)",Memento (2000),Terminator 2: Judgment Day (1991),American Beauty (1999),"Sixth Sense, The (1999)",Shrek (2001),Seven (a.k.a. Se7en) (1995),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Toy Story (1995),Indiana Jones and the Last Crusade (1989),Back to the Future (1985)
26,"Shawshank Redemption, The (1994)",Braveheart (1995),Jurassic Park (1993),Dances with Wolves (1990),Terminator 2: Judgment Day (1991),Aladdin (1992),Schindler's List (1993),Speed (1994),"Lion King, The (1994)","Usual Suspects, The (1995)",Crimson Tide (1995),Stargate (1994),Beauty and the Beast (1991),Outbreak (1995),Toy Story (1995),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Matrix, The (1999)","Mask, The (1994)",Interview with the Vampire: The Vampire Chronicles (1994),Star Wars: Episode IV - A New Hope (1977)
27,"Shawshank Redemption, The (1994)",Pulp Fiction (1994),"Silence of the Lambs, The (1991)","Matrix, The (1999)",Terminator 2: Judgment Day (1991),Braveheart (1995),Schindler's List (1993),"Fugitive, The (1993)",Apollo 13 (1995),Saving Private Ryan (1998),Aladdin (1992),"Godfather, The (1972)","Usual Suspects, The (1995)",Seven (a.k.a. Se7en) (1995),Fargo (1996),American Beauty (1999),Batman (1989),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Indiana Jones and the Last Crusade (1989),"Sixth Sense, The (1999)"
28,Toy Story (1995),Back to the Future (1985),Shrek (2001),Apollo 13 (1995),Indiana Jones and the Last Crusade (1989),Inception (2010),"Lion King, The (1994)",Groundhog Day (1993),Finding Nemo (2003),Aladdin (1992),One Flew Over the Cuckoo's Nest (1975),"Monsters, Inc. (2001)",Mission: Impossible (1996),Ocean's Eleven (2001),True Lies (1994),"Amelie (Fabuleux destin d'Am¨¦lie Poulain, Le) (2001)","Shining, The (1980)",E.T. the Extra-Terrestrial (1982),Indiana Jones and the Temple of Doom (1984),Ferris Bueller's Day Off (1986)
29,"Matrix, The (1999)","Silence of the Lambs, The (1991)",Star Wars: Episode IV - A New Hope (1977),Fight Club (1999),Schindler's List (1993),Star Wars: Episode V - The Empire Strikes Back (1980),Braveheart (1995),Terminator 2: Judgment Day (1991),Jurassic Park (1993),Seven (a.k.a. Se7en) (1995),Star Wars: Episode VI - Return of the Jedi (1983),American Beauty (1999),Fargo (1996),"Lord of the Rings: The Fellowship of the Ring, The (2001)","Lord of the Rings: The Return of the King, The (2003)","Lord of the Rings: The Two Towers, The (2002)","Fugitive, The (1993)",Toy Story (1995),"Sixth Sense, The (1999)","Godfather: Part II, The (1974)"
30,Forrest Gump (1994),Pulp Fiction (1994),Fight Club (1999),"Silence of the Lambs, The (1991)",Saving Private Ryan (1998),Schindler's List (1993),"Godfather, The (1972)",Gladiator (2000),"Usual Suspects, The (1995)",Jurassic Park (1993),American Beauty (1999),Toy Story (1995),Seven (a.k.a. Se7en) (1995),"Sixth Sense, The (1999)",Back to the Future (1985),Shrek (2001),Memento (2000),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Fargo (1996),Finding Nemo (2003)
31,Forrest Gump (1994),Star Wars: Episode IV - A New Hope (1977),"Shawshank Redemption, The (1994)",Pulp Fiction (1994),"Silence of the Lambs, The (1991)",Jurassic Park (1993),Terminator 2: Judgment Day (1991),Braveheart (1995),"Matrix, The (1999)",Star Wars: Episode VI - Return of the Jedi (1983),"Fugitive, The (1993)",Apollo 13 (1995),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Schindler's List (1993),Seven (a.k.a. Se7en) (1995),Fargo (1996),"Usual Suspects, The (1995)",Batman (1989),True Lies (1994),"Godfather, The (1972)"
32,Forrest Gump (1994),Braveheart (1995),Jurassic Park (1993),Terminator 2: Judgment Day (1991),"Fugitive, The (1993)",Apollo 13 (1995),"Matrix, The (1999)",Seven (a.k.a. Se7en) (1995),Dances with Wolves (1990),Star Wars: Episode VI - Return of the Jedi (1983),True Lies (1994),Aladdin (1992),"Godfather, The (1972)",Speed (1994),"Lion King, The (1994)",Fight Club (1999),Saving Private Ryan (1998),American Beauty (1999),Back to the Future (1985),Die Hard: With a Vengeance (1995)
33,Jurassic Park (1993),Star Wars: Episode IV - A New Hope (1977),Seven (a.k.a. Se7en) (1995),Star Wars: Episode V - The Empire Strikes Back (1980),Fight Club (1999),American Beauty (1999),Dances with Wolves (1990),"Godfather, The (1972)",Batman (1989),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),True Lies (1994),"Lion King, The (1994)",Speed (1994),Independence Day (a.k.a. ID4) (1996),"Lord of the Rings: The Fellowship of the Ring, The (2001)",Back to the Future (1985),"Lord of the Rings: The Return of the King, The (2003)",Mission: Impossible (1996),Beauty and the Beast (1991),"Lord of the Rings: The Two Towers, The (2002)"
34,Pulp Fiction (1994),Star Wars: Episode IV - A New Hope (1977),"Silence of the Lambs, The (1991)","Lord of the Rings: The Fellowship of the Ring, The (2001)",Star Wars: Episode V - The Empire Strikes Back (1980),"Lord of the Rings: The Return of the King, The (2003)",Star Wars: Episode VI - Return of the Jedi (1983),Jurassic Park (1993),Schindler's List (1993),Saving Private Ryan (1998),Seven (a.k.a. Se7en) (1995),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),American Beauty (1999),"Usual Suspects, The (1995)",Gladiator (2000),"Godfather, The (1972)",Toy Story (1995),Back to the Future (1985),Finding Nemo (2003),Apollo 13 (1995)
35,Forrest Gump (1994),"Shawshank Redemption, The (1994)",Pulp Fiction (1994),Braveheart (1995),"Fugitive, The (1993)","Silence of the Lambs, The (1991)",Jurassic Park (1993),True Lies (1994),Aladdin (1992),Terminator 2: Judgment Day (1991),Schindler's List (1993),"Lion King, The (1994)",Seven (a.k.a. Se7en) (1995),Die Hard: With a Vengeance (1995),Speed (1994),Crimson Tide (1995),Clear and Present Danger (1994),"Firm, The (1993)",Outbreak (1995),Toy Story (1995)
36,Forrest Gump (1994),Pulp Fiction (1994),"Silence of the Lambs, The (1991)","Matrix, The (1999)",Star Wars: Episode IV - A New Hope (1977),"Godfather, The (1972)","Usual Suspects, The (1995)",Schindler's List (1993),American Beauty (1999),Star Wars: Episode V - The Empire Strikes Back (1980),Fargo (1996),Fight Club (1999),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Braveheart (1995),Saving Private Ryan (1998),Star Wars: Episode VI - Return of the Jedi (1983),"Sixth Sense, The (1999)",Terminator 2: Judgment Day (1991),Jurassic Park (1993),Toy Story (1995)
37,Braveheart (1995),Jurassic Park (1993),Terminator 2: Judgment Day (1991),Seven (a.k.a. Se7en) (1995),Aladdin (1992),Schindler's List (1993),"Usual Suspects, The (1995)",Speed (1994),"Lion King, The (1994)",Toy Story (1995),Crimson Tide (1995),"Matrix, The (1999)",Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Beauty and the Beast (1991),Star Wars: Episode IV - A New Hope (1977),Independence Day (a.k.a. ID4) (1996),"Firm, The (1993)",GoldenEye (1995),"Mask, The (1994)",Cliffhanger (1993)
38,Terminator 2: Judgment Day (1991),Seven (a.k.a. Se7en) (1995),Die Hard: With a Vengeance (1995),Toy Story (1995),Clear and Present Danger (1994),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Stargate (1994),Ace Ventura: Pet Detective (1994),Independence Day (a.k.a. ID4) (1996),Babe (1995),Star Wars: Episode IV - A New Hope (1977),"Matrix, The (1999)",GoldenEye (1995),Ghost (1990),"Net, The (1995)",Dumb & Dumber (Dumb and Dumber) (1994),Star Wars: Episode V - The Empire Strikes Back (1980),Fargo (1996),Star Wars: Episode VI - Return of the Jedi (1983),Saving Private Ryan (1998)
39,"Shawshank Redemption, The (1994)",Forrest Gump (1994),Fight Club (1999),Braveheart (1995),Jurassic Park (1993),Schindler's List (1993),Saving Private Ryan (1998),Toy Story (1995),"Lord of the Rings: The Fellowship of the Ring, The (2001)","Lord of the Rings: The Return of the King, The (2003)","Lord of the Rings: The Two Towers, The (2002)",Apollo 13 (1995),Gladiator (2000),Independence Day (a.k.a. ID4) (1996),Memento (2000),"Terminator, The (1984)",Groundhog Day (1993),Men in Black (a.k.a. MIB) (1997),Shrek (2001),Blade Runner (1982)
40,Forrest Gump (1994),"Silence of the Lambs, The (1991)",Jurassic Park (1993),Terminator 2: Judgment Day (1991),Seven (a.k.a. Se7en) (1995),Schindler's List (1993),Speed (1994),"Usual Suspects, The (1995)",Crimson Tide (1995),Clear and Present Danger (1994),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mrs. Doubtfire (1993),Interview with the Vampire: The Vampire Chronicles (1994),Independence Day (a.k.a. ID4) (1996),GoldenEye (1995),Star Wars: Episode IV - A New Hope (1977),Pretty Woman (1990),Mission: Impossible (1996),"Net, The (1995)",Sleepless in Seattle (1993)
41,"Shawshank Redemption, The (1994)",Star Wars: Episode IV - A New Hope (1977),"Lord of the Rings: The Fellowship of the Ring, The (2001)","Lord of the Rings: The Return of the King, The (2003)",Schindler's List (1993),"Godfather, The (1972)",Star Wars: Episode V - The Empire Strikes Back (1980),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),"Sixth Sense, The (1999)",Braveheart (1995),"Dark Knight, The (2008)",Star Wars: Episode VI - Return of the Jedi (1983),Terminator 2: Judgment Day (1991),Jurassic Park (1993),Toy Story (1995),Back to the Future (1985),One Flew Over the Cuckoo's Nest (1975),"Beautiful Mind, A (2001)",Monty Python and the Holy Grail (1975),"Monsters, Inc. (2001)"
42,Jurassic Park (1993),Terminator 2: Judgment Day (1991),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),American Beauty (1999),Toy Story (1995),Fargo (1996),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Aladdin (1992),"Sixth Sense, The (1999)",Speed (1994),"Lord of the Rings: The Fellowship of the Ring, The (2001)",Indiana Jones and the Last Crusade (1989),"Lord of the Rings: The Return of the King, The (2003)",Alien (1979),"Lord of the Rings: The Two Towers, The (2002)","Terminator, The (1984)",Monty Python and the Holy Grail (1975),Memento (2000),Shrek (2001),"Mask, The (1994)"
43,"Silence of the Lambs, The (1991)",Schindler's List (1993),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Independence Day (a.k.a. ID4) (1996),"Usual Suspects, The (1995)",Star Wars: Episode IV - A New Hope (1977),"Matrix, The (1999)",Twister (1996),Star Wars: Episode VI - Return of the Jedi (1983),Star Wars: Episode V - The Empire Strikes Back (1980),Jumanji (1995),Fargo (1996),Four Weddings and a Funeral (1994),Clueless (1995),Get Shorty (1995),Home Alone (1990),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),"Rock, The (1996)",In the Line of Fire (1993),Dave (1993)
44,Forrest Gump (1994),"Shawshank Redemption, The (1994)",Pulp Fiction (1994),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Silence of the Lambs, The (1991)",Star Wars: Episode V - The Empire Strikes Back (1980),Braveheart (1995),Jurassic Park (1993),Terminator 2: Judgment Day (1991),"Matrix, The (1999)",Fargo (1996),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),"Fugitive, The (1993)",Apollo 13 (1995),Willy Wonka & the Chocolate Factory (1971),"Usual Suspects, The (1995)",Seven (a.k.a. Se7en) (1995),"Godfather, The (1972)",Schindler's List (1993),Saving Private Ryan (1998)
45,"Shawshank Redemption, The (1994)",Schindler's List (1993),Seven (a.k.a. Se7en) (1995),"Lord of the Rings: The Return of the King, The (2003)","Lord of the Rings: The Two Towers, The (2002)",Fargo (1996),Batman (1989),Memento (2000),Speed (1994),Alien (1979),Reservoir Dogs (1992),Aliens (1986),"Dark Knight, The (2008)",L¨¦on: The Professional (a.k.a. The Professional) (L¨¦on) (1994),Kill Bill: Vol. 1 (2003),One Flew Over the Cuckoo's Nest (1975),Eternal Sunshine of the Spotless Mind (2004),"Incredibles, The (2004)",GoldenEye (1995),Babe (1995)
46,Forrest Gump (1994),Pulp Fiction (1994),Apollo 13 (1995),Jurassic Park (1993),Terminator 2: Judgment Day (1991),Seven (a.k.a. Se7en) (1995),Schindler's List (1993),Speed (1994),Babe (1995),Independence Day (a.k.a. ID4) (1996),Star Trek: Generations (1994),Mrs. Doubtfire (1993),Star Wars: Episode IV - A New Hope (1977),"Matrix, The (1999)",Mission: Impossible (1996),Pretty Woman (1990),Sleepless in Seattle (1993),Ghost (1990),Star Wars: Episode V - The Empire Strikes Back (1980),Fargo (1996)
